args =  Namespace(dataset='high', split='dense', repeat=1, test=False, optruns=100, path='results/', name='legendre+high', detach=False, savemodel=False, power=False, cheby=False, legendre=True, bern=False, jacobi=False, sole=False, fixalpha=False, multilayer=False, resmultilayer=False)
0.0000, 0.0000, alpha 1.0, lr 0.0010/0.0050/0.0500, wd 0.0000/0.0001/0.0000, loss 0.0095328999
0.0000, 0.0000, alpha 1.0, lr 0.0010/0.0050/0.0100, wd 0.0005/0.0010/0.0000, loss 0.1014257572
0.0000, 0.0000, alpha 1.0, lr 0.0010/0.0050/0.0100, wd 0.0000/0.0001/0.0000, loss 0.0641760900
0.0000, 0.0000, alpha 1.0, lr 0.0010/0.0050/0.0050, wd 0.0010/0.0001/0.0000, loss 0.6469740279
0.0000, 0.0000, alpha 1.0, lr 0.0010/0.0050/0.0500, wd 0.0000/0.0001/0.0000, loss 0.0061303648
0.0000, 0.0000, alpha 1.0, lr 0.0500/0.0050/0.0050, wd 0.0001/0.0001/0.0000, loss 0.6568518283
0.0000, 0.0000, alpha 1.0, lr 0.0010/0.0050/0.0500, wd 0.0000/0.0001/0.0000, loss 0.0101549361
0.0000, 0.0000, alpha 1.0, lr 0.0010/0.0050/0.0500, wd 0.0000/0.0001/0.0000, loss 0.0065151861
0.0000, 0.0000, alpha 1.0, lr 0.0010/0.0050/0.0500, wd 0.0000/0.0001/0.0000, loss 0.0072963162
0.0000, 0.0000, alpha 1.0, lr 0.0050/0.0500/0.0500, wd 0.0000/0.0001/0.0000, loss 0.0075854593
0.0000, 0.0000, alpha 1.0, lr 0.0010/0.0010/0.0500, wd 0.0000/0.0001/0.0010, loss 0.0066431133
0.0000, 0.0000, alpha 1.0, lr 0.0050/0.0500/0.0500, wd 0.0000/0.0001/0.0010, loss 0.0079665997
0.0000, 0.0000, alpha 1.0, lr 0.0010/0.0050/0.0500, wd 0.0001/0.0001/0.0001, loss 0.0065483292
0.0000, 0.0000, alpha 1.0, lr 0.0010/0.0050/0.0500, wd 0.0005/0.0000/0.0000, loss 0.0065067580
0.0000, 0.0000, alpha 1.0, lr 0.0010/0.0050/0.0500, wd 0.0001/0.0001/0.0001, loss 0.0069988897
0.0000, 0.0000, alpha 1.0, lr 0.0010/0.0050/0.0500, wd 0.0000/0.0001/0.0000, loss 0.0071730514
0.0000, 0.0000, alpha 1.0, lr 0.0010/0.0050/0.0500, wd 0.0000/0.0001/0.0000, loss 0.0061303648
0.0000, 0.0000, alpha 1.0, lr 0.0010/0.0050/0.0500, wd 0.0000/0.0001/0.0000, loss 0.0061202906
0.0000, 0.0000, alpha 1.0, lr 0.0010/0.0050/0.0500, wd 0.0000/0.0001/0.0000, loss 0.0071730514
0.0000, 0.0000, alpha 1.0, lr 0.0010/0.0050/0.0500, wd 0.0000/0.0010/0.0005, loss 0.0054015232
0.0000, 0.0000, alpha 1.0, lr 0.0010/0.0050/0.0500, wd 0.0000/0.0001/0.0000, loss 0.0069515349
0.0000, 0.0000, alpha 1.0, lr 0.0010/0.0050/0.0010, wd 0.0000/0.0010/0.0005, loss 18.8787049198
0.0000, 0.0000, alpha 1.0, lr 0.0010/0.0050/0.0010, wd 0.0000/0.0010/0.0005, loss 17.5687076575
best params  {'lr1': 0.001, 'lr2': 0.005, 'lr3': 0.05, 'wd1': 0.0, 'wd2': 0.0001, 'wd3': 0.0, 'alpha': 1.0}
best valf1  0.004739669029368088
